"Datum";"Uhrzeit";"Wochentag";"#";"ST";"Mannschaft 1";"Mannschaft 2";"Schiedsgericht";"Gastgeber";"Austragungsort/Ergebnis";"Austragungsort";"Ergebnis";"Saison";"Spielrunde";"Geschlecht";"Satzpunkte";"Ballpunkte";"Spieldauer";"Satzpunkte 1";":";"Satzpunkte 2";"Satz 1 - Ballpunkte 1";":";"Satz 1 - Ballpunkte 2";"Satz 1 - Satzdauer";"Satz 2 - Ballpunkte 1";":";"Satz 2 - Ballpunkte 2";"Satz 2 - Satzdauer";"Satz 3 - Ballpunkte 1";":";"Satz 3 - Ballpunkte 2";"Satz 3 - Satzdauer";"Satz 4 - Ballpunkte 1";":";"Satz 4 - Ballpunkte 2";"Satz 4 - Satzdauer";"Satz 5 - Ballpunkte 1";":";"Satz 5 - Ballpunkte 2";"Satz 5 - Satzdauer";
"29.11.2025";"14:00:00";"Samstag";"1034";"Spieltag 6";"Geraer VC I";"SV 1860 Oberweißbach";"VfB 91 Suhl II";"Geraer VC I";"Gera Ostschule (07546 Gera)";"Gera Ostschule (07546 Gera)";"-";"2025/26";"Thüringenliga Damen";"weiblich";
"29.11.2025";"14:00:00";"Samstag";"1035";"Spieltag 6";"Geraer VC I";"VfB 91 Suhl II";"SV 1860 Oberweißbach";"Geraer VC I";"Gera Ostschule (07546 Gera)";"Gera Ostschule (07546 Gera)";"-";"2025/26";"Thüringenliga Damen";"weiblich";
"06.12.2025";"11:00:00";"Samstag";"1038";"Spieltag 7";"SVV Weimar e.V. I";"1. VSV Jena II";"VfB 91 Suhl II";"SVV Weimar e.V. I";"Sporthalle Nordstraße (99427 Weimar)";"Sporthalle Nordstraße (99427 Weimar)";"-";"2025/26";"Thüringenliga Damen";"weiblich";
"06.12.2025";"11:00:00";"Samstag";"1039";"Spieltag 7";"SVV Weimar e.V. I";"VfB 91 Suhl II";"1. VSV Jena II";"SVV Weimar e.V. I";"Sporthalle Nordstraße (99427 Weimar)";"Sporthalle Nordstraße (99427 Weimar)";"-";"2025/26";"Thüringenliga Damen";"weiblich";
"06.12.2025";"11:00:00";"Samstag";"1040";"Spieltag 7";"SG  ERFURT electronic II";"SWE Volley-Team III";"Geraer VC I";"SG  ERFURT electronic II";"SH Walter-Gropius-Schule Erfurt (99092 Erfurt)";"SH Walter-Gropius-Schule Erfurt (99092 Erfurt)";"-";"2025/26";"Thüringenliga Damen";"weiblich";
"06.12.2025";"11:00:00";"Samstag";"1041";"Spieltag 7";"SG  ERFURT electronic II";"Geraer VC I";"SWE Volley-Team III";"SG  ERFURT electronic II";"SH Walter-Gropius-Schule Erfurt (99092 Erfurt)";"SH Walter-Gropius-Schule Erfurt (99092 Erfurt)";"-";"2025/26";"Thüringenliga Damen";"weiblich";
"06.12.2025";"13:00:00";"Samstag";"1036";"Spieltag 7";"VC Altenburg I";"SV 1860 Oberweißbach";"VV70 Meiningen I";"VC Altenburg I";"Wenzelhalle (04600 Altenburg)";"Wenzelhalle (04600 Altenburg)";"-";"2025/26";"Thüringenliga Damen";"weiblich";
"06.12.2025";"13:00:00";"Samstag";"1037";"Spieltag 7";"VC Altenburg I";"VV70 Meiningen I";"SV 1860 Oberweißbach";"VC Altenburg I";"Wenzelhalle (04600 Altenburg)";"Wenzelhalle (04600 Altenburg)";"-";"2025/26";"Thüringenliga Damen";"weiblich";
"13.12.2025";"11:00:00";"Samstag";"1042";"Spieltag 8";"Volleyball Gemeinschaft Bleicherode 1";"SG  ERFURT electronic II";"SVV Weimar e.V. I";"Volleyball Gemeinschaft Bleicherode 1";"Georgenberg-SH (95752 Bleicherode)";"Georgenberg-SH (95752 Bleicherode)";"-";"2025/26";"Thüringenliga Damen";"weiblich";
"13.12.2025";"11:00:00";"Samstag";"1043";"Spieltag 8";"Volleyball Gemeinschaft Bleicherode 1";"SVV Weimar e.V. I";"SG  ERFURT electronic II";"Volleyball Gemeinschaft Bleicherode 1";"Georgenberg-SH (95752 Bleicherode)";"Georgenberg-SH (95752 Bleicherode)";"-";"2025/26";"Thüringenliga Damen";"weiblich";
